r,j,k,l,f,trace,ipc
1,1,1,1,4,gcc,0.971053
1,1,1,1,4,gobmk,0.996185
1,1,1,1,4,hmmer,0.993759
1,1,1,1,4,mcf,0.966174
1,1,1,1,8,gcc,0.971053
1,1,1,1,8,gobmk,0.996185
1,1,1,1,8,hmmer,0.993759
1,1,1,1,8,mcf,0.966174
1,1,1,2,4,gcc,0.99996
1,1,1,2,4,gobmk,0.999151
1,1,1,2,4,hmmer,0.998183
1,1,1,2,4,mcf,0.988142
1,1,1,2,8,gcc,0.99996
1,1,1,2,8,gobmk,0.999151
1,1,1,2,8,hmmer,0.998183
1,1,1,2,8,mcf,0.988142
1,1,2,1,4,gcc,0.99996
1,1,2,1,4,gobmk,0.999121
1,1,2,1,4,hmmer,0.998183
1,1,2,1,4,mcf,0.985008
1,1,2,1,8,gcc,0.99996
1,1,2,1,8,gobmk,0.999121
1,1,2,1,8,hmmer,0.998183
1,1,2,1,8,mcf,0.985008
1,1,2,2,4,gcc,0.99995
1,1,2,2,4,gobmk,0.99974
1,1,2,2,4,hmmer,0.99996
1,1,2,2,4,mcf,0.996751
1,1,2,2,8,gcc,0.99995
1,1,2,2,8,gobmk,0.99974
1,1,2,2,8,hmmer,0.99996
1,1,2,2,8,mcf,0.996751
1,2,1,1,4,gcc,0.99996
1,2,1,1,4,gobmk,0.9994
1,2,1,1,4,hmmer,0.99985
1,2,1,1,4,mcf,0.985008
1,2,1,1,8,gcc,0.99996
1,2,1,1,8,gobmk,0.9994
1,2,1,1,8,hmmer,0.99985
1,2,1,1,8,mcf,0.985008
1,2,1,2,4,gcc,0.998941
1,2,1,2,4,gobmk,0.99978
1,2,1,2,4,hmmer,0.99996
1,2,1,2,4,mcf,0.996751
1,2,1,2,8,gcc,0.998941
1,2,1,2,8,gobmk,0.99978
1,2,1,2,8,hmmer,0.99996
1,2,1,2,8,mcf,0.996751
1,2,2,1,4,gcc,0.998941
1,2,2,1,4,gobmk,0.99966
1,2,2,1,4,hmmer,0.99996
1,2,2,1,4,mcf,0.995837
1,2,2,1,8,gcc,0.998941
1,2,2,1,8,gobmk,0.99966
1,2,2,1,8,hmmer,0.99996
